name,Adsorption,Desorption,deltaW,enthalpy_298K,enthalpy_363K,medium_enthalpy_of_ads,Qcon+Qads,Qregen,COPh
NU-1000,0.9,0.61,0.29,-30.80,-19.49361,-25.146925,52.687645621039,130.204647772273,1.40465257210472
T,0.73,0.58,0.15,-33.43,-26.12,-29.775,27.2522304936409,97.1823255915213,1.28042373268765
2T,1.29,0.82,0.47,-29.62,-18.66,-24.14,85.3903222134081,177.560924645124,1.48090717247655
3T,2,0.97,1.03,-27.53,-17.35,-22.44,187.131982723001,315.047697254285,1.59397984608013
TBT,2.23,1.06,1.17,-25.97,-17.45,-21.71,212.567397850399,341.774161243226,1.62195280379643
TBT-N,2.08,1,1.08,-26.76,-17.49,-22.125,196.216059554214,324.182013995948,1.60526510134108
2B,1.75,0.95,0.80,-27.68,-17.68,-22.68,145.345229299418,256.989054695228,1.56556972619627
3B,2.75,1.14,1.61,-25.3319,-16.65,-20.99095,292.507273965079,439.855663179246,1.66500740686355
NU-1007,1.66,0.94,0.72,-16.21,-16.26,-16.235,130.810706369476,181.573107260993,1.72042995982576
4B,2.45,1.12,1.33,-16.62,-13.82,-15.22,241.636443710282,281.508467734437,1.8583629673912
5T,2.46,0.9,1.56,-16.6,-12.75,-14.675,283.423197133865,312.474946491284,1.90702694829254
6T,2.72,0.84,1.88,-16.68,-10.52,-13.6,341.561288853632,343.728844270701,1.99369399614493
7T,1.3,0.86,0.44,-13.35,-9.14,-11.245,79.9398761146799,102.808611376822,1.77756011917794
